Subj,ShapeNameC,ShapeColorC,Condition,Trial,TrialBin,ResponseTime,bodyShape,Response,Correct,totalCorrect,NoticedColorStr,NoticedColorC
3,-0.5,0.5,3,18,1,1097,1,2,1,234,noticers,0.5
3,-0.5,0.5,3,19,1,582,2,1,1,234,noticers,0.5
3,-0.5,0.5,3,20,1,502,2,1,1,234,noticers,0.5
3,-0.5,0.5,3,21,1,554,1,2,1,234,noticers,0.5
3,-0.5,0.5,3,22,1,570,1,2,1,234,noticers,0.5
3,-0.5,0.5,3,23,1,603,1,2,1,234,noticers,0.5
3,-0.5,0.5,3,24,1,1338,1,2,1,234,noticers,0.5
3,-0.5,0.5,3,25,1,588,1,2,1,234,noticers,0.5
3,-0.5,0.5,3,26,1,476,2,1,1,234,noticers,0.5
3,-0.5,0.5,3,27,1,545,1,2,1,234,noticers,0.5
3,-0.5,0.5,3,28,1,499,2,1,1,234,noticers,0.5
3,-0.5,0.5,3,29,1,502,2,1,1,234,noticers,0.5
3,-0.5,0.5,3,30,1,489,1,2,1,234,noticers,0.5
3,-0.5,0.5,3,31,1,685,1,2,1,234,noticers,0.5
3,-0.5,0.5,3,32,1,473,1,2,1,234,noticers,0.5
3,-0.5,0.5,3,33,1,526,1,2,1,234,noticers,0.5
3,-0.5,0.5,3,34,1,705,1,2,1,234,noticers,0.5
3,-0.5,0.5,3,35,1,508,2,1,1,234,noticers,0.5
3,-0.5,0.5,3,36,1,590,1,2,1,234,noticers,0.5
3,-0.5,0.5,3,37,1,670,2,1,1,234,noticers,0.5
3,-0.5,0.5,3,38,1,651,1,2,1,234,noticers,0.5
3,-0.5,0.5,3,39,1,856,1,2,1,234,noticers,0.5
3,-0.5,0.5,3,40,1,542,1,2,1,234,noticers,0.5
3,-0.5,0.5,3,41,2,1066,2,1,1,234,noticers,0.5
3,-0.5,0.5,3,42,2,550,1,2,1,234,noticers,0.5
3,-0.5,0.5,3,43,2,472,1,2,1,234,noticers,0.5
3,-0.5,0.5,3,44,2,428,1,2,1,234,noticers,0.5
3,-0.5,0.5,3,45,2,499,1,2,1,234,noticers,0.5
3,-0.5,0.5,3,46,2,422,1,2,1,234,noticers,0.5
3,-0.5,0.5,3,47,2,557,1,2,1,234,noticers,0.5
3,-0.5,0.5,3,48,2,718,2,1,1,234,noticers,0.5
3,-0.5,0.5,3,49,2,648,1,2,1,234,noticers,0.5
3,-0.5,0.5,3,50,2,502,2,1,1,234,noticers,0.5
3,-0.5,0.5,3,51,2,441,1,2,1,234,noticers,0.5
3,-0.5,0.5,3,52,2,479,2,1,1,234,noticers,0.5
3,-0.5,0.5,3,53,2,500,1,2,1,234,noticers,0.5
3,-0.5,0.5,3,54,2,487,2,1,1,234,noticers,0.5
3,-0.5,0.5,3,55,2,475,1,2,1,234,noticers,0.5
3,-0.5,0.5,3,56,2,528,1,2,1,234,noticers,0.5
3,-0.5,0.5,3,57,2,482,1,2,1,234,noticers,0.5
3,-0.5,0.5,3,58,2,534,2,1,1,234,noticers,0.5
3,-0.5,0.5,3,59,2,472,1,1,0,234,noticers,0.5
3,-0.5,0.5,3,60,2,557,2,1,1,234,noticers,0.5
3,-0.5,0.5,3,61,2,542,1,2,1,234,noticers,0.5
3,-0.5,0.5,3,62,2,576,2,1,1,234,noticers,0.5
3,-0.5,0.5,3,63,2,641,1,2,1,234,noticers,0.5
3,-0.5,0.5,3,64,2,638,1,2,1,234,noticers,0.5
3,-0.5,0.5,3,65,2,572,1,2,1,234,noticers,0.5
3,-0.5,0.5,3,66,2,573,2,1,1,234,noticers,0.5
3,-0.5,0.5,3,67,2,525,1,2,1,234,noticers,0.5
3,-0.5,0.5,3,68,2,576,2,1,1,234,noticers,0.5
3,-0.5,0.5,3,69,2,1281,2,1,1,234,noticers,0.5
3,-0.5,0.5,3,70,2,645,1,2,1,234,noticers,0.5
3,-0.5,0.5,3,71,2,723,2,1,1,234,noticers,0.5
3,-0.5,0.5,3,72,2,381,1,2,1,234,noticers,0.5
3,-0.5,0.5,3,73,2,486,2,1,1,234,noticers,0.5
3,-0.5,0.5,3,74,2,762,2,1,1,234,noticers,0.5
3,-0.5,0.5,3,75,2,531,1,2,1,234,noticers,0.5
3,-0.5,0.5,3,76,2,518,2,1,1,234,noticers,0.5
3,-0.5,0.5,3,77,2,537,1,2,1,234,noticers,0.5
3,-0.5,0.5,3,78,2,554,1,2,1,234,noticers,0.5
3,-0.5,0.5,3,79,2,443,2,1,1,234,noticers,0.5
3,-0.5,0.5,3,80,2,673,1,2,1,234,noticers,0.5
3,-0.5,0.5,3,81,3,647,1,2,1,234,noticers,0.5
3,-0.5,0.5,3,82,3,485,2,1,1,234,noticers,0.5
3,-0.5,0.5,3,83,3,697,2,1,1,234,noticers,0.5
3,-0.5,0.5,3,84,3,484,2,1,1,234,noticers,0.5
3,-0.5,0.5,3,85,3,1016,2,1,1,234,noticers,0.5
3,-0.5,0.5,3,86,3,567,1,2,1,234,noticers,0.5
3,-0.5,0.5,3,87,3,568,1,2,1,234,noticers,0.5
3,-0.5,0.5,3,88,3,425,1,2,1,234,noticers,0.5
3,-0.5,0.5,3,89,3,735,1,2,1,234,noticers,0.5
3,-0.5,0.5,3,90,3,537,1,2,1,234,noticers,0.5
3,-0.5,0.5,3,91,3,491,1,2,1,234,noticers,0.5
3,-0.5,0.5,3,92,3,622,1,2,1,234,noticers,0.5
3,-0.5,0.5,3,93,3,605,2,1,1,234,noticers,0.5
3,-0.5,0.5,3,94,3,524,2,1,1,234,noticers,0.5
3,-0.5,0.5,3,95,3,607,1,2,1,234,noticers,0.5
3,-0.5,0.5,3,96,3,478,1,2,1,234,noticers,0.5
3,-0.5,0.5,3,97,3,435,1,2,1,234,noticers,0.5
3,-0.5,0.5,3,98,3,601,2,1,1,234,noticers,0.5
3,-0.5,0.5,3,99,3,871,2,1,1,234,noticers,0.5
3,-0.5,0.5,3,100,3,972,2,1,1,234,noticers,0.5
3,-0.5,0.5,3,101,3,525,2,1,1,234,noticers,0.5
3,-0.5,0.5,3,102,3,447,2,1,1,234,noticers,0.5
3,-0.5,0.5,3,103,3,373,1,2,1,234,noticers,0.5
3,-0.5,0.5,3,104,3,382,1,2,1,234,noticers,0.5
3,-0.5,0.5,3,105,3,439,2,1,1,234,noticers,0.5
3,-0.5,0.5,3,106,3,540,2,1,1,234,noticers,0.5
3,-0.5,0.5,3,107,3,782,2,1,1,234,noticers,0.5
3,-0.5,0.5,3,108,3,566,2,1,1,234,noticers,0.5
3,-0.5,0.5,3,109,3,551,2,1,1,234,noticers,0.5
3,-0.5,0.5,3,110,3,1288,1,2,1,234,noticers,0.5
3,-0.5,0.5,3,111,3,1165,2,1,1,234,noticers,0.5
